time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,69,,,,,
2021-01-01,63,,,,,
2021-01-02,61,,,,,
2021-01-02,69,,,,,
2021-01-03,60,,,,,
2021-01-03,61,,,,,
2021-01-04,60,,,,,
2021-01-04,60,,,,,
2021-01-05,65,,,,,
2021-01-05,60,,,,,
2021-01-06,106,,,,,
2021-01-07,80,,,,,
2021-01-08,69,,,,,
2021-01-09,67,,,,,
2021-01-10,65,,,,,
2021-01-11,35,,,,,
2021-01-12,52,,,,,
2021-01-13,40,,,,,
2021-01-14,48,,,,,
2021-01-15,53,,,,,
2021-01-16,55,,,,,
2021-01-17,51,,,,,
2021-01-18,54,,,,,
2021-01-19,57,,,,,
2021-01-20,66,,,,,
2021-01-21,61,,,,,
2021-01-22,71,,,,,
2021-01-23,67,,,,,
2021-01-24,54,,,,,
2021-01-26,61,,,,,
2021-01-27,71,,,,,
2021-01-28,44,,,,,
2021-01-29,46,,,,,
2021-01-30,53,,,,,
2021-01-31,64,,,,,
2021-02-01,76,,,,,
2021-02-02,80,,,,,
2021-02-04,51,,,,,
2021-02-05,73,,,,,
2021-02-07,138,,,,,
2021-02-08,73,,,,,
2021-02-09,79,,,,,
2021-02-10,104,,,,,
2021-02-11,99,,,,,
2021-02-12,46,,,,,
2021-02-13,7,,,,,
2021-02-14,36,,,,,
2021-02-15,84,,,,,
2021-02-16,104,,,,,
2021-02-17,108,,,,,
2021-02-18,86,,,,,
2021-02-19,73,,,,,
2021-02-20,70,,,,,
2021-02-21,95,,,,,
2021-02-22,82,,,,,
2021-02-23,65,,,,,
2021-02-24,60,,,,,
2021-02-25,83,,,,,
2021-02-26,63,,,,,
2021-02-27,60,,,,,
2021-02-28,66,,,,,
2021-03-01,105,,,,,
2021-03-02,44,,,,,
2021-03-03,69,,,,,
2021-03-04,85,,,,,
2021-03-05,72,,,,,
2021-03-06,94,,,,,
2021-03-07,91,,,,,
2021-03-08,59,,,,,
2021-03-09,57,,,,,
2021-03-10,82,,,,,
2021-03-11,107,,,,,
2021-03-12,106,,,,,
2021-03-13,92,,,,,
2021-03-14,91,,,,,
2021-03-15,107,,,,,
2021-03-16,102,,,,,
2021-03-17,108,,,,,
2021-03-18,81,,,,,
2021-03-19,64,,,,,
2021-03-20,49,,,,,
2021-03-21,59,,,,,
