time,pm25,pm10,O3,NO2,SO2,CO
2021-01-01,23,13,,,,
2021-01-01,13,14,,,,
2021-01-02,22,9,,,,
2021-01-02,23,13,,,,
2021-01-03,14,3,,,,
2021-01-03,22,9,,,,
2021-01-04,12,4,,,,
2021-01-04,14,3,,,,
2021-01-05,12,6,,,,
2021-01-05,12,,,,,
2021-01-06,13,6,,,,
2021-01-07,9,4,,,,
2021-01-08,7,4,,,,
2021-01-09,9,6,,,,
2021-01-10,8,6,,,,
2021-01-11,15,5,,,,
2021-01-12,10,8,,,,
2021-01-13,13,12,,,,
2021-01-14,15,8,,,,
2021-01-15,15,8,,,,
2021-01-16,13,4,,,,
2021-01-17,9,5,,,,
2021-01-18,12,3,,,,
2021-01-19,8,3,,,,
2021-01-20,7,3,,,,
2021-01-21,8,3,,,,
2021-01-22,5,3,,,,
2021-01-23,13,4,,,,
2021-01-24,7,4,,,,
2021-01-25,13,7,,,,
2021-01-26,9,8,,,,
2021-01-27,10,4,,,,
2021-01-28,7,7,,,,
2021-01-29,8,4,,,,
2021-01-30,6,4,,,,
2021-01-31,6,4,,,,
2021-02-01,8,5,,,,
2021-02-02,9,5,,,,
2021-02-03,10,5,,,,
2021-02-04,8,6,,,,
2021-02-05,10,6,,,,
2021-02-06,10,7,,,,
2021-02-07,13,5,,,,
2021-02-08,12,5,,,,
2021-02-09,6,6,,,,
2021-02-10,7,8,,,,
2021-02-11,14,10,,,,
2021-02-12,15,4,,,,
2021-02-13,6,3,,,,
2021-02-14,5,4,,,,
2021-02-15,6,9,,,,
2021-02-16,14,10,,,,
2021-02-17,13,8,,,,
2021-02-18,11,7,,,,
2021-02-19,11,11,,,,
2021-02-20,14,17,,,,
2021-02-21,18,10,,,,
2021-02-22,15,8,,,,
2021-02-23,8,5,,,,
2021-02-24,12,4,,,,
2021-02-25,9,9,,,,
2021-02-26,13,11,,,,
2021-02-27,16,6,,,,
2021-02-28,10,4,,,,
2021-03-01,6,4,,,,
2021-03-02,7,10,,,,
2021-03-03,16,9,,,,
2021-03-04,14,23,,,,
2021-03-05,31,7,,,,
2021-03-06,11,9,,,,
2021-03-07,12,,,,,
2021-03-08,,6,,,,
2021-03-09,8,5,,,,
2021-03-10,8,3,,,,
2021-03-11,5,8,,,,
2021-03-12,10,6,,,,
2021-03-13,7,6,,,,
2021-03-14,9,7,,,,
2021-03-15,10,9,,,,
2021-03-16,12,9,,,,
2021-03-17,13,7,,,,
2021-03-18,9,4,,,,
2021-03-19,9,4,,,,
2021-03-20,6,5,,,,
2021-03-21,6,3,,,,
2021-03-22,5,5,,,,
2021-03-23,7,4,,,,
2021-03-24,7,5,,,,
2021-03-25,7,6,,,,
2021-03-26,6,3,,,,
2021-03-27,6,7,,,,
2021-03-28,10,7,,,,
2021-03-29,12,6,,,,
2021-03-30,13,4,,,,
2021-03-31,6,4,,,,
2021-04-01,,6,,,,
2021-04-01,5,4,,,,
2021-04-02,9,6,,,,
2021-04-02,9,7,,,,
2021-04-03,8,5,,,,
2021-04-03,9,8,,,,
2021-04-04,9,10,,,,
2021-04-04,10,6,,,,
2021-04-05,13,9,,,,
2021-04-05,6,,,,,
2021-04-06,11,6,,,,
